Phenotypic Series  - PS618332
Downloaded:	Nov 23, 2022
Copyright (c) 1966-2022 Johns Hopkins University OMIM, data are provided for research purposes only.


Menke-Hennekam syndrome - PS618332 - 2 Entries
Location	Phenotype	Inheritance	Phenotype mapping key	Phenotype MIM number	Gene/Locus	Gene/Locus MIM number
16p13.3	Menke-Hennekam syndrome 1	AD	3	618332	CREBBP, CBP, RSTS1, MKHK1	600140
22q13.2	Menke-Hennekam syndrome 2	AD	3	618333	EP300, RSTS2, MKHK2	602700




Phenotype Mapping Key
1 - The disorder is placed on the map due to its association with a gene, but the underlying defect is not known.
2 - The disorder was placed on the map by statistical methods.
3 - The molecular basis of the disorder is known.
4 - A contiguous gene duplication or deletion syndrome in which multiple genes are involved.


Inheritance Abbreviations
?AD	?Autosomal dominant
?XLR	?X-linked recessive
AD	Autosomal dominant
AR	Autosomal recessive
PD	Pseudoautosomal dominant
PR	Pseudoautosomal recessive
DD	Digenic dominant
DR	Digenic recessive
ICB	Inherited chromosomal imbalance
IC	Isolated cases
Mi	Mitochondrial
Mu	Multifactorial
SMo	Somatic mosaicism
SMu	Somatic mutation
XL	X-linked
XLD	X-linked dominant
XLR	X-linked recessive
YL	Y-linked



